Setting,Model,C1,C2,C3,C4,C5,Total
Zero-shot,Qwen3-8B,41.06455133193707,41.88001743144705,36.96976938522205,48.631415538306875,57.38723255778588,186.53820374852427
Zero-shot,DeepSeek-R1-0528-Qwen3-8B,50.35153391834284,47.711474926375374,40.97926660575064,54.059679795498575,67.31848502199064,208.64689716550544
Zero-shot,Mistral-Small-3.1-24B-Instruct-2503,45.27853545108049,37.346381171258365,35.125763222775774,52.193852614353574,61.33595295880249,165.35499403549363
Zero-shot,llama-3.1-nemotron-ultra-253b-v1,33.806170189140666,38.54496446637726,35.62028445595335,57.0407250556022,60.532139741553515,165.8057453452816
Zero-shot,DeepSeek-R1T-Chimera,35.258313743664026,36.269159006568266,34.18352116932262,46.32248476444443,55.2122857836707,159.97813261646698
One-shot,Qwen3-8B,35.423304414281034,39.678004275966494,36.172569863027796,40.3194243098334,49.675330738355576,151.34768729313174
One-shot,DeepSeek-R1-0528-Qwen3-8B,41.85216241178315,43.114871312342835,40.693693324455566,47.61360513115979,60.64762246607176,177.92454259360304
One-shot,Mistral-Small-3.1-24B-Instruct-2503,42.1021941493147,36.39754581160482,33.24965200721029,51.88010398509599,61.63941036075046,167.08092346352032
One-shot,llama-3.1-nemotron-ultra-253b-v1,34.55675181798649,38.605427192900684,35.45621041711673,54.18895781142175,58.832172234211434,160.25489899863038
One-shot,DeepSeek-R1T-Chimera,36.52548134072995,34.012516989387194,33.21456001642274,46.598589800857404,54.446592977710424,157.406087508837
Self-generated reference,Qwen3-8B,39.70738451270305,41.88001743144705,37.81187127516233,44.812534689594635,53.994924715603894,171.63253172846302
Self-generated reference,DeepSeek-R1-0528-Qwen3-8B,42.129883855793196,43.35762195882286,42.51564623673399,52.99210568854688,63.61326300639435,188.5157617278329
Self-generated reference,Mistral-Small-3.1-24B-Instruct-2503,39.50126395733946,38.57520767578991,35.62028445595335,51.835127726979735,60.029147439173684,157.6799726056957
Self-generated reference,llama-3.1-nemotron-ultra-253b-v1,35.423304414281034,46.57355698153767,38.42375358616263,51.587057386479394,58.41442371503106,165.39730415449444
Self-generated reference,DeepSeek-R1T-Chimera,33.771656479081805,37.626366290584535,33.563828927059234,44.209941760166544,54.059679795498575,153.23908033997148
